"cell_type","gene_identifier","other name","parent","type","Schelker","Danaher","Janeway"
"immune","PTPRC","","root","pos","","","x"
"stem","CD34","","root","pos","","","x"
"T cell","CD3D","","immune","pos","x","x",""
"T cell","CD3E","","immune","pos","x","x",""
"T cell","CD3G","","immune","pos","x","x",""
"B cell","CD19","","immune","pos","x","x",""
"B cell","MS4A1","CD20","immune","pos","x","x",""
"myeloblast-derived","CD14","","immune","pos","x","",""
"myeloblast-derived","ANPEP","CD13","immune","pos","","",""
"myeloblast-derived","FUT4","","immune","pos","","",""
"NK cell","NCR1","","immune","pos","","x",""
"NK cell","KLRF1","","immune","pos","x","",""
"NK cell","NCAM1","","immune","pos","","",""
"Mast cells","MS4A2","","immune","pos","","x",""
"pDC","IL3RA","","immune","pos","x","",""
"pDC","CLEC4C","","immune","pos","","",""
"T cell CD4+","CD4","","T cell","pos","x","","x"
"T cell CD8+","CD8A","","T cell","pos","x","x","x"
"T cell CD8+","CD8B","","T cell","pos","x","x","x"
"T cell reg.","FOXP3","","T cell","pos","x","x",""
"T cell reg.","CD4","","T cell","add","x","",""
"Endothelial cell","VWF","","other","pos","x","",""
"Endothelial cell","CDH5","","other","pos","x","",""
"Endothelial cell","SELE","","other","pos","x","",""
"Cancer associated fibroblast","FAP","","other","pos","x","",""
"Cancer associated fibroblast","THY1","","other","pos","x","",""
"Cancer associated fibroblast","COL1A1","","other","pos","x","",""
"Cancer associated fibroblast","COL3A1","","other","pos","x","",""